l2_regularization,baseline_l2,N,seed,query_type,metric,value,baseline_value,paired_difference,paired_percent_change,paired_training_cloud,paired_query_cloud,source_csv
0.01,1e-06,1200,124,on_support,Q_linf,2.8174225060319832e-05,2.8847815172237956e-05,-6.735901119181236e-07,-2.334977910446269,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,off_support,density_relative_l1,0.007524799562101869,0.007603475875259745,-7.867631315787611e-05,-1.0347414057546205,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,off_support,density_relative_l2,0.008078197871557571,0.008275860694046932,-0.00019766282248936083,-2.3884261685500032,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,off_support,density_relative_linf,0.012581773618952753,0.013012861741006129,-0.0004310881220533757,-3.312784924894198,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,off_support,density_mae,7.097705030120235e-05,7.17191581261927e-05,-7.421078249903514e-07,-1.0347414057546287,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,off_support,density_rmse,0.00011745052650494448,0.0001203243856181965,-2.8738591132520126e-06,-2.3884261685499957,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,off_support,density_linf,0.0010017144347863097,0.0010360360819247783,-3.43216471384686e-05,-3.312784924894202,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,off_support,gradient_relative_l1,0.0118276032326228,0.011933248155465634,-0.00010564492284283362,-0.8852989686169094,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,off_support,gradient_relative_l2,0.010919293319612075,0.011270237751139807,-0.00035094443152773255,-3.1139044204479185,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,off_support,gradient_relative_linf,0.01836483432915427,0.02445873301068701,-0.00609389868153274,-24.915021881428075,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,off_support,gradient_mae,0.00012751447180598766,0.0001286534393778903,-1.1389675719026464e-06,-0.8852989686169116,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,off_support,gradient_rmse,0.00022338601538874438,0.00023056560804984099,-7.179592661096611e-06,-3.1139044204479145,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,off_support,gradient_linf,0.003080515645798796,0.004102705658293113,-0.0010221900124943164,-24.915021881428068,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,off_support,Q_relative_l1,0.02377306434058742,0.02434323511015269,-0.0005701707695652709,-2.342214446786792,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,off_support,Q_relative_l2,0.023403220358968642,0.023906782468792014,-0.0005035621098233717,-2.1063566813339403,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
0.01,1e-06,1200,124,off_support,Q_relative_linf,0.02595913789575458,0.026224735509822492,-0.00026559761406791393,-1.012775186878183,True,True,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\manufactured\manufactured_complete.csv
