method,P0,observable,metric,n_seeds,mean,sample_sd,standard_error,ci95_low,ci95_high,confidence_interval_method,source_csv
MIDPOINT,100.0,P1,D23,4,5.815887580232568,5.581945927155652,2.790972963577826,-3.0662340158539543,14.69800917631909,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P1,raw_observable_seed_spread,4,12.056754129111596,2.134688984470997,1.0673444922354984,8.659987593331227,15.453520664891965,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P_mean,value1,4,98.80307168215515,1.3847685608182236,0.6923842804091118,96.59959588713026,101.00654747718004,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P_mean,value2,4,99.3733824174396,1.104552507064828,0.552276253532414,97.61579289488914,101.13097193999006,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P_mean,value3,4,99.21270369657778,1.057191353268215,0.5285956766341074,97.53047633848432,100.89493105467123,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P_mean,D12,4,18.245194861312143,17.307048053722387,8.653524026861193,-9.294180705660857,45.78457042828514,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P_mean,D23,4,17.987144476590917,16.558574559739807,8.279287279869903,-8.361242737618053,44.33553169079988,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P_mean,raw_observable_seed_spread,4,236.65467242347017,72.36778961969112,36.18389480984556,121.50137007508275,351.80797477185763,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P_var,value1,4,-5.959258239530497e+45,1.1917872254350878e+46,5.958936127175439e+45,-2.4923252500884884e+46,1.3004736021823893e+46,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
MIDPOINT,100.0,P_var,value2,4,-9.500611711710192e+44,1.7208909943283487e+45,8.604454971641744e+44,-3.6883827645196264e+45,1.7882604221775882e+45,"two-sided Student t, df=3",D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\timestep\timestep_run_by_run.csv
