method,P0,observable,N,n_seeds,seeds,mean,sample_sd,standard_error,ci95_low,ci95_high,confidence_interval_method,cloud_relationship,source_csv,difference_from_N2000_mean,combined_seed_sd_scale,change_exceeds_seed_variability
MIDPOINT,20.0,trace,2000,3,"[11,29,47]",1.0000000000021114,7.065981623636108e-13,4.079546392495256e-13,1.0000000000003562,1.0000000000038667,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.0,9.992807043625247e-13,False
MIDPOINT,20.0,energy,2000,3,"[11,29,47]",0.09341013490386917,0.020732441850722826,0.011969880883473087,0.04190789424645602,0.1449123755612823,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.0,0.029320100446403773,False
MIDPOINT,20.0,R_mean,2000,3,"[11,29,47]",14.485365134149937,2.244901784981331,1.2960946498632429,8.908719950971289,20.062010317328586,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.0,3.1747705505161683,False
MIDPOINT,20.0,P_mean,2000,3,"[11,29,47]",19.00731960797867,1.7511117653717976,1.0110048491185282,14.657316834182797,23.35732238177454,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.0,2.4764460078198893,False
MIDPOINT,20.0,R_var,2000,3,"[11,29,47]",-194254943.9514363,330939082.8864481,191067768.58985868,-1016353200.0315425,627843312.12867,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.0,468018539.33732873,False
MIDPOINT,20.0,P_var,2000,3,"[11,29,47]",-387364467.8484628,662671467.4981656,382593550.1443503,-2033531650.7411892,1258802715.0442636,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.0,937158976.7335875,False
PBME,100.0,P0,500,3,"[11,29,47]",0.13697881776843276,0.006788127526409582,0.003919127254666081,0.12011617418811721,0.15384146134874832,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,-0.0057736646608747555,0.009057655512472082,False
PBME,100.0,P1,500,3,"[11,29,47]",0.8630211822317939,0.0067881275264087566,0.003919127254665604,0.8461585386514804,0.8798838258121074,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,0.005773664660874922,0.009057655512471613,False
PBME,100.0,trace,500,3,"[11,29,47]",1.0000000000002267,9.019494489765868e-16,5.20740757162067e-16,1.0000000000002245,1.000000000000229,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,4.440892098500626e-16,9.678699938266253e-16,False
PBME,100.0,energy,500,3,"[11,29,47]",2.499032324175501,0.0009515732723937383,0.0005493910849701779,2.4966684851240832,2.5013961632269184,"two-sided Student t, df=2",independently sampled; not nested,D:\PhD-Project\GP_RKHS_MINT\GP_RKHS_MINT\Tully_models\GP_MInt_QCLE_Reviewer_Ready_Pipeline_v4\output\fixed_pipeline\final_reviewer_closure\support\independent_cloud_run_by_run.csv,-0.0009055446932726419,0.0010674704572761317,False
